condition,counter,picture1,picture2,participant,session,date,expName,psychopyVersion,frameRate,
,[103],,Houses_AI/aihouse (88).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (26).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[104],,Houses_AI/aihouse (86).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (31).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[105],,Houses_AI/aihouse (91).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (32).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[106],,Houses_AI/aihouse (92).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (27).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[107],,Houses_AI/aihouse (87).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (30).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[108],,Houses_AI/aihouse (90).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (33).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[109],,Houses_AI/aihouse (93).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (29).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[110],,Houses_AI/aihouse (89).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[111, 112, 113, 114, 115, 116, 117, 118]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (21).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[119],,Faces_AI/aiface (120).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (22).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[120],,Faces_AI/aiface (121).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (25).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[121],,Faces_AI/aiface (124).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (27).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[122],,Faces_AI/aiface (126).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (26).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[123],,Faces_AI/aiface (125).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (24).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[124],,Faces_AI/aiface (123).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (28).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[125],,Faces_AI/aiface (127).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (23).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[126],,Faces_AI/aiface (122).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[127, 128, 129, 130, 131, 132, 133, 134]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (32).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[135],,Faces_AI/aiface (131).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (34).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[136],,Faces_AI/aiface (133).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (29).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[137],,Faces_AI/aiface (128).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (31).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[138],,Faces_AI/aiface (130).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (35).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[139],,Faces_AI/aiface (134).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (33).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[140],,Faces_AI/aiface (132).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (36).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[141],,Faces_AI/aiface (135).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (30).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[142],,Faces_AI/aiface (129).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[143, 144, 145, 146, 147, 148, 149, 150]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (40).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[151],,Houses_AI/aihouse (100).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (36).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[152],,Houses_AI/aihouse (96).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (38).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[153],,Houses_AI/aihouse (98).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (34).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[154],,Houses_AI/aihouse (94).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (37).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[155],,Houses_AI/aihouse (97).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (41).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[156],,Houses_AI/aihouse (101).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (39).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[157],,Houses_AI/aihouse (99).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (35).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[158],,Houses_AI/aihouse (95).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[159, 160, 161, 162, 163, 164, 165, 166]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (42).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[167],,Houses_AI/aihouse (102).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (44).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[168],,Houses_AI/aihouse (104).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (48).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[169],,Houses_AI/aihouse (108).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (49).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[170],,Houses_AI/aihouse (109).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (46).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[171],,Houses_AI/aihouse (106).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (43).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[172],,Houses_AI/aihouse (103).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (47).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[173],,Houses_AI/aihouse (107).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (45).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[174],,Houses_AI/aihouse (105).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[175, 176, 177, 178, 179, 180, 181, 182]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (42).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[183],,Faces_AI/aiface (141).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (38).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[184],,Faces_AI/aiface (137).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (44).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[185],,Faces_AI/aiface (143).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (41).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[186],,Faces_AI/aiface (140).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (40).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[187],,Faces_AI/aiface (139).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (39).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[188],,Faces_AI/aiface (138).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (43).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[189],,Faces_AI/aiface (142).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (37).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[190],,Faces_AI/aiface (136).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[191, 192, 193, 194, 195, 196, 197, 198]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (57).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[199],,Houses_AI/aihouse (117).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
